0.05,-90.12,-0.47,0.06,0.02,0
0.1,-90.05,-0.47,0,0.02,0
0.14,-90.05,-0.47,-0.06,0.02,0
0.18,-90.05,-0.47,0,0.02,0
0.24,-90.05,-0.47,0,0.02,0
0.29,-90.05,-0.47,0,0.02,0
0.35,-90.05,-0.47,-0.25,0.02,0
0.4,-90.05,-0.47,-0.19,0.02,0
0.45,-89.99,-0.47,-0.31,0.02,0
0.5,-89.99,-0.54,-0.25,-0.05,0
0.55,-89.99,-0.54,-0.25,0.02,0
0.6,-89.99,-0.54,-0.31,-0.05,0
0.65,-89.99,-0.6,-0.19,-0.05,0
0.7,-89.99,-0.6,-0.44,-0.05,0
0.75,-89.99,-0.6,-0.31,0.02,0
0.8,-89.99,-0.6,-0.44,-0.05,0
0.85,-90.05,-0.6,-0.31,0.02,0
0.9,-90.05,-0.6,-0.37,-0.05,0
0.95,-90.05,-0.72,-0.31,-0.11,0
1,-90.12,-0.72,-0.44,-0.11,0
1.05,-90.12,-0.72,-0.56,-0.11,0
1.1,-90.12,-0.79,-0.56,-0.23,0
1.15,-90.24,-0.85,-0.56,-0.3,0
1.2,-90.24,-0.79,-0.69,-0.42,0
1.25,-90.12,-0.66,-0.5,-0.55,0
1.3,-90.05,-0.6,-0.06,-0.55,0
1.35,-89.93,-0.54,0.5,-0.61,0
1.4,-89.8,-0.47,1,-0.61,0
1.45,-89.55,-0.16,1.88,-0.67,0
1.5,-89.3,-0.04,2.88,-0.48,0
1.55,-89.05,0.09,3.63,-0.48,0
1.6,-88.8,0.21,4.56,-0.3,0
1.65,-88.49,0.34,5.38,-0.17,0
1.7,-88.24,0.28,6.44,-0.05,0
1.75,-87.74,0.34,8,0.27,0
1.8,-87.3,0.34,9.31,0.14,0
1.85,-86.62,0.34,10.25,0.39,0
1.9,-85.93,0.34,11.13,0.2,0
1.95,-85.24,0.34,11.94,0.27,0
2,-84.55,0.28,12.75,0.14,0
2.05,-83.8,0.21,13.69,0.14,0
2.1,-82.74,0.21,14.44,0.08,0
2.15,-81.93,-0.1,15.44,0.02,0
2.2,-80.99,-0.66,16.31,-0.11,0
2.25,-79.99,-1.29,17.19,-0.23,0
2.3,-78.99,-2.1,17.81,-0.55,0
2.35,-77.93,-3.04,18.25,-0.8,0
2.4,-76.99,-4.1,18.75,-0.98,0
2.45,-75.93,-5.1,18.75,-1.3,0
2.5,-74.93,-6.1,18.81,-1.48,0
2.55,-73.74,-7.1,18.94,-1.61,0
2.6,-72.55,-8.16,18.75,-1.86,0
2.65,-71.3,-9.16,18.63,-2.11,0
